NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT16,WT18,WT22
"SEATTLE TACOMA AIRPORT, WA US",16 08 2013,2.2,0,0,0,20.4,28.9,16.1,4.5,7.6,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",17 08 2013,3,0,0,0,21.7,25.6,17.2,6.7,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",18 08 2013,3.1,0,0,0,20.1,26.1,15.6,6.3,8.1,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",19 08 2013,3,0,0,0,20.4,26.7,15.6,7.6,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",20 08 2013,4.6,0,0,0,20.4,25.6,16.1,7.2,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",21 08 2013,4.3,0,0,0,20.6,27.8,15,6.3,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",22 08 2013,1.9,0,0,0,22.2,28.9,15,5.4,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",23 08 2013,4.1,0,0,0,20.9,25,16.1,7.6,10.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",24 08 2013,2.7,0,0,0,19.4,25,16.7,5.4,7.2,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",25 08 2013,2.6,0.3,0,0,19.3,22.2,16.1,5.4,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",26 08 2013,1.9,1,0,0,19.4,24.4,16.1,7.2,10.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",27 08 2013,1.4,1.3,0,0,19.7,26.7,17.2,5.8,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",28 08 2013,1.3,5.6,0,0,20.5,26.7,15.6,5.4,6.3,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",29 08 2013,3,19.3,0,0,21.1,23.9,18.3,8.1,10.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",30 08 2013,2.9,0,0,0,19.9,26.1,16.1,5.8,7.2,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",31 08 2013,2.6,0,0,0,20.1,27.8,13.9,5.8,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",01 09 2013,2.5,0,0,0,20.4,27.8,15.6,5.4,6.7,,,,,,,,,,,,,
